Name,Email,Phone,DOB
Student 1,student1@example.com,0901000001,2000-01-15
Student 2,student2@example.com,0901000002,2001-02-20
Student 3,student3@example.com,0901000003,1999-03-25
Student 4,student4@example.com,0901000004,2000-04-10
Student 5,student5@example.com,0901000005,2002-05-05
Student 6,student6@example.com,0901000006,2001-06-18
Student 7,student7@example.com,0901000007,2002-07-22
Student 8,student8@example.com,0901000008,2000-08-30
Student 9,student9@example.com,0901000009,1999-09-14
Student 10,student10@example.com,0901000010,2000-10-01
Student 11,student11@example.com,0901000011,2001-11-12
Student 12,student12@example.com,0901000012,2002-12-09
Student 13,student13@example.com,0901000013,2000-01-03
Student 14,student14@example.com,0901000014,2001-02-25
Student 15,student15@example.com,0901000015,1998-03-14
Student 16,student16@example.com,0901000016,1999-04-17
Student 17,student17@example.com,0901000017,2002-05-19
Student 18,student18@example.com,0901000018,2000-06-21
Student 19,student19@example.com,0901000019,2001-07-08
Student 20,student20@example.com,0901000020,1999-08-26
Student 21,student21@example.com,0901000021,2000-09-30
Student 22,student22@example.com,0901000022,2001-10-15
Student 23,student23@example.com,0901000023,2002-11-07
Student 24,student24@example.com,0901000024,1998-12-12
Student 25,student25@example.com,0901000025,2000-01-27
Student 26,student26@example.com,0901000026,2001-02-13
Student 27,student27@example.com,0901000027,2002-03-09
Student 28,student28@example.com,0901000028,1999-04-05
Student 29,student29@example.com,0901000029,2000-05-11
Student 30,student30@example.com,0901000030,2001-06-16
Student 31,student31@example.com,0901000031,2002-07-20
Student 32,student32@example.com,0901000032,1998-08-10
Student 33,student33@example.com,0901000033,1999-09-03
Student 34,student34@example.com,0901000034,2000-10-28
Student 35,student35@example.com,0901000035,2001-11-22
Student 36,student36@example.com,0901000036,2002-12-30
Student 37,student37@example.com,0901000037,1999-01-17
Student 38,student38@example.com,0901000038,2000-02-19
Student 39,student39@example.com,0901000039,2001-03-21
Student 40,student40@example.com,0901000040,2002-04-23
Student 41,student41@example.com,0901000041,1998-05-15
Student 42,student42@example.com,0901000042,1999-06-27
Student 43,student43@example.com,0901000043,2000-07-31
Student 44,student44@example.com,0901000044,2001-08-08
Student 45,student45@example.com,0901000045,2002-09-12
Student 46,student46@example.com,0901000046,1998-10-19
Student 47,student47@example.com,0901000047,1999-11-25
Student 48,student48@example.com,0901000048,2000-12-05
Student 49,student49@example.com,0901000049,2001-01-30
Student 50,student50@example.com,0901000050,2002-02-14
